,ZBTB20,UTRN,MTCO2,TCF12,STAT4,MTND2,MTCYTB,CCND3,ST6GALNAC3,MTATP6,TRPS1,ARL15,MTCO3
Satellite cells,0,0,0,0,0,0,1,0,0,2,0,0,1
Kupffer cells,0,0,0,0,0,0,5,0,0,1,0,0,0
Distal tubule cells,0,0,0,0,0,19,45,0,0,2,0,0,3
Osteoblasts,0,0,0,0,0,0,10,0,0,1,0,0,0
Proximal tubule cells,0,0,0,0,0,14,59,0,0,0,0,0,2
Intercalated cells,0,0,0,0,0,10,18,0,0,0,0,0,0
Red pulp macrophages,0,0,0,0,0,0,8,0,0,0,0,0,0
Paneth cells,0,0,0,0,0,2,30,0,0,0,0,0,3
Microglia,0,0,0,0,0,0,2,0,0,0,0,0,0
Interneurons,0,0,0,0,0,0,13,0,0,0,0,0,0
Choroid plexus cells,0,0,0,0,0,0,3,0,0,0,0,0,0
Neuroendocrine cells,0,0,0,0,0,0,2,0,0,0,0,0,0
Anterior pituitary gland cells,0,0,0,0,0,0,17,0,0,0,0,0,0
Purkinje neurons,0,0,0,0,0,0,14,0,0,0,0,0,0
Pulmonary alveolar type I cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Foveolar cells,0,0,0,0,0,0,4,0,0,0,0,0,0
Retinal ganglion cells,0,0,0,0,0,0,5,0,0,0,0,0,0
Nuocytes,0,0,0,0,0,0,1,0,0,0,0,0,0
Meningeal cells,0,0,0,0,0,0,6,0,0,0,0,0,0
Endothelial cells (aorta),0,0,0,0,0,0,1,0,0,0,0,0,0
Schwann cells,0,0,0,0,0,0,18,0,0,0,0,0,0
Tuft cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Sertoli cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Stromal cells,0,0,0,0,0,0,3,0,0,0,0,0,0
Noradrenergic neurons,0,0,0,0,0,0,2,0,0,0,0,0,0
Granulosa cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Osteoclasts,0,0,0,0,0,0,2,0,0,0,0,0,0
Melanocytes,0,0,0,0,0,0,1,0,0,0,0,0,0
Neuroblasts,0,0,0,0,0,0,1,0,0,0,0,0,0
Cajal-Retzius cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Tanycytes,0,0,0,0,0,0,6,0,0,0,0,0,0
Olfactory epithelial cells,0,0,0,0,0,0,1,0,0,0,0,0,0
